id,company,title,publish_date,type,open_source,summary,details,url,tags,created_at
rss_https://www.microsoft.com/en-us/research/?p=1171470,Microsoft Research,"GridSFM: A new, small foundation model for the electric grid",2026-05-13,其他,否,"<p>Introducing GridSFM, a small foundation model that can predict AC optimal power flow in milliseconds, boosting efficiency and unlocking cost savings. Learn how GridSFM gives grid operators direct v",,https://www.microsoft.com/en-us/research/blog/gridsfm-a-new-small-foundation-model-for-the-electric-grid/,,2026-05-14 05:43:56
rss_https://simonwillison.net/2026/May/13/welcome-to-the-datasette-blog/#atom-everything,Simon Willison,Welcome to the Datasette blog,2026-05-13,其他,否,"<p><strong><a href=""https://datasette.io/blog/2026/new-blog/"">Welcome to the Datasette blog</a></strong></p>
We have a bunch of neat Datasette announcements in the pipeline so we decided it was time t",,https://simonwillison.net/2026/May/13/welcome-to-the-datasette-blog/#atom-everything,,2026-05-14 05:43:56
rss_https://openai.com/index/sea-david-chen,OpenAI,Sea's View on the Future of Agentic Software Development with Codex,2026-05-14,其他,否,Sea Limited's CPO explains why the company is deploying Codex across engineering teams to accelerate AI-native software development in Asia.,,https://openai.com/index/sea-david-chen,,2026-05-15 05:50:08
rss_https://openai.com/index/chatgpt-recognize-context-in-sensitive-conversations,OpenAI,Helping ChatGPT better recognize context in sensitive conversations,2026-05-14,其他,否,"Learn how new ChatGPT safety updates improve context awareness in sensitive conversations, helping detect risk over time and respond more safely.",,https://openai.com/index/chatgpt-recognize-context-in-sensitive-conversations,,2026-05-15 05:50:08
rss_https://simonwillison.net/2026/May/14/datasette-ip-rate-limit/#atom-everything,Simon Willison,datasette-ip-rate-limit 0.1a0,2026-05-14,其他,否,"<p><strong>Release:</strong> <a href=""https://github.com/datasette/datasette-ip-rate-limit/releases/tag/0.1a0"">datasette-ip-rate-limit 0.1a0</a></p>
        <p>The <a href=""https://datasette.io/"">data",,https://simonwillison.net/2026/May/14/datasette-ip-rate-limit/#atom-everything,,2026-05-15 05:50:11
rss_https://openai.com/index/personal-finance-chatgpt,OpenAI,A new personal finance experience in ChatGPT,2026-05-15,其他,否,"Preview a new personal finance experience in ChatGPT for Pro users in the U.S. Securely connect your financial accounts and get AI-powered insights and guidance grounded in your financial context, goa",,https://openai.com/index/personal-finance-chatgpt,,2026-05-16 05:23:44
rss_https://openai.com/index/databricks,OpenAI,Databricks brings GPT-5.5 to enterprise agent workflows,2026-05-15,其他,否,Databricks uses GPT-5.5 for enterprise agent workflows after the model set a new state of the art on the OfficeQA Pro benchmark.,,https://openai.com/index/databricks,,2026-05-16 05:23:44
rss_https://www.microsoft.com/en-us/research/?p=1172154,Microsoft Research,Further Notes on Our Recent Research on AI Delegation and Long-Horizon Reliability,2026-05-15,其他,否,"<p>Our recent paper, “LLMs Corrupt Your Documents When You Delegate”, has generated discussion about the reliability of AI systems in delegated workflows. We appreciate the interest in this work and w",,https://www.microsoft.com/en-us/research/blog/further-notes-on-our-recent-research-on-ai-delegation-and-long-horizon-reliability/,,2026-05-16 05:23:48
rss_https://simonwillison.net/2026/May/15/datasette-llm-limits/#atom-everything,Simon Willison,datasette-llm-limits 0.1a0,2026-05-15,其他,否,"<p><strong>Release:</strong> <a href=""https://github.com/datasette/datasette-llm-limits/releases/tag/0.1a0"">datasette-llm-limits 0.1a0</a></p>
        <p>This plugin works in conjunction with <a href=",,https://simonwillison.net/2026/May/15/datasette-llm-limits/#atom-everything,,2026-05-16 05:23:48
rss_https://openai.com/index/malta-chatgpt-plus-partnership,OpenAI,OpenAI and Malta partner to bring ChatGPT Plus to all citizens,2026-05-16,其他,否,"OpenAI and Malta partner to expand AI access, offering ChatGPT Plus and training to help citizens build practical AI skills and use AI responsibly.",,https://openai.com/index/malta-chatgpt-plus-partnership,,2026-05-17 05:44:17
